ADMUnitID, Country, ADMParent, ADMName, ADMLevel,YEAR,tMEANY,tseMEANY,tFGT_0,tseFGT_0,tFGT_1,tseFGT_1,tFGT_2,tseFGT_2,tFGT_0lo,tseFGT_0lo,tGINI,tseGINI,tpoorper,tGE_0,tseGE_0,tGE_1,tseGE_1,tGE_2,tseGE_2,tATK_0_5,tseATK_0_5,tATK_2,tseATK_2,tNUMHH,tNUMHH_W,tNUMPER,tNUMPER_W,
4540002,Malawi,4540000,"Central Region",1,1998,11.460036963145,,.6389965,.054789,.2831798,.039439,.1595396,.0290909,.3654067,.0575015,,,2598377.02781,,,,,,,,,,,908943,893307,4066340,4010455,
4540153,Malawi,4540000,"Northern Region",1,1998,14.6866114062632,,.6114895,.0548981,.2521806,.0346695,.1342876,.023899,.319393,.0511581,,,754308.98762,,,,,,,,,,,243060,238482,1233560,1197146,
4540229,Malawi,4540000,"Southern Region",1,1998,11.3208436273533,,.6539569,.0468287,.2877314,.0346292,.1609403,.0254916,.3712232,.0511287,,,3030415.3479792,,,,,,,,,,,1121834,1107628,4633968,4594284,
4540003,Malawi,4540002,"Dedza District",2,1998,9.13612,.6262042,.7283342,.0272371,.337145,.0248406,.194631,.0205732,.4421718,.0356162,.3861783,.0239156,354467.1451244,.2593595,.0348439,.269966,.0401919,.4008859,.0918828,.1230534,.0160547,.4070176,.0423211,113544,112255,486682,484175,
4540013,Malawi,4540002,"Dowa District",2,1998,15.7245,6.449117,.498032,.0421455,.2103052,.0286455,.1173693,.0219089,.2617013,.0406105,.4490639,.0745881,204883.890384,.3829816,.2066279,.4612882,.5215278,5.726234,30.17094,.1763994,.0928434,.5567638,.1564023,90379,88135,411387,406294,
4540023,Malawi,4540002,"Kasungu District",2,1998,12.69601,.7534872,.5398597,.034939,.1951056,.0211635,.0940211,.0133955,.2308964,.0328752,.3556349,.0171632,259488.4235423,.2132328,.0218024,.2230665,.0255699,.3075758,.0568132,.1029026,.0103877,.3383625,.0253482,96787,95832,480659,476301,
4540040,Malawi,4540002,"Lilongwe City",2,1998,17.3854,1.2801,.44125,.03179,.16592,.01842,.08382,.01212,.19889,.0266,.45141,.01818,194357.82875,.34985,.03081,.38141,.0367,.66077,.10874,.16649,.013871,.48081,.02947,98406,96271,440471,429197,
4540088,Malawi,4540002,"Lilongwe Rural",2,1998,8.410416,.9635352,.7666203,.0442819,.3660993,.0349562,.2141541,.0277188,.4882912,.0513883,.3804289,.0366028,694472.8969467,.2504654,.0526899,.2631749,.0598905,.401298,.1380022,.119506,.0241544,.3905575,.0590996,209536,206218,905889,896313,
4540104,Malawi,4540002,"Mchinji District",2,1998,11.07339,.9056436,.62372,.0398805,.2569173,.0246705,.1360584,.0163982,.3270476,.0369646,.3706144,.0183867,202672.20052,.233296,.0247809,.2420017,.0299811,.3429035,.0884054,.1115729,.0117752,.364828,.0282908,70792,69573,324941,321153,
4540112,Malawi,4540002,"Nkhotakota District",2,1998,10.59914,1.032513,.6800457,.0435732,.2781266,.0317697,.1421407,.022456,.3626249,.0502803,.3530164,.0215567,156043.286322,.2090202,.0275246,.2271366,.0339931,.3329552,.0844087,.1025821,.0133401,.319509,.0317167,50031,49278,229460,224148,
